,Trend,Lag1,Lag6,Lag5,Lag12,ma3,ma5,pred,real,error
347,105.611176463495,97.2853,100.6957,110.148,105.2722,96.1177666666667,101.33538,108.28627558397,124.2549,15.9686244160305
348,105.722936189036,113.4732,110.148,108.1756,115.501,100.848533333333,102.00042,106.171760954209,112.8811,6.70933904579066
349,105.834695914578,124.2549,108.1756,99.2809,106.734,111.671133333333,105.21628,100.487322344145,104.7631,4.27577765585535
350,105.94645564012,112.8811,99.2809,91.7871,102.9948,116.869733333333,107.93632,92.4069073762253,90.2867,2.12020737622525
351,106.058215365661,104.7631,91.7871,97.2853,91.0092,113.966366666667,110.53152,100.30947465987,92.134,8.17547465987029
352,106.169975091203,90.2867,97.2853,113.4732,90.9634,102.643633333333,109.1318,105.906783989249,101.878,4.02878398924865
353,106.281734816745,92.134,113.4732,124.2549,100.6957,95.7279333333333,104.86396,109.273228075959,108.5497,0.723528075959024
354,106.393494542286,101.878,124.2549,112.8811,110.148,94.7662333333333,100.38858,109.494365635931,108.194,1.3003656359311
355,106.505254267828,108.5497,112.8811,104.7631,108.1756,100.8539,99.5223,106.055841642034,100.4172,5.63864164203389
356,106.61701399337,108.194,104.7631,90.2867,99.2809,106.207233333333,100.20848,90.6743258401056,92.3837,1.70937415989435
357,106.728773718911,100.4172,90.2867,92.134,91.7871,105.7203,102.23458,92.4006552496698,99.7033,7.30264475033019
358,106.840533444453,92.3837,92.134,101.878,97.2853,100.331633333333,102.28452,106.569192567782,109.3477,2.77850743221794
359,106.952293169995,99.7033,101.878,108.5497,113.4732,97.5014,101.84958,107.720402193688,120.2696,12.5491978063122
360,107.064052895536,109.3477,108.5497,108.194,124.2549,100.478233333333,102.00918,106.171760954209,116.3788,10.2070390457907
361,107.175812621078,120.2696,108.194,100.4172,112.8811,109.773533333333,104.4243,101.86232890651,104.4706,2.60827109349023
362,107.28757234662,116.3788,100.4172,92.3837,104.7631,115.332033333333,107.61662,92.5758081349053,89.7461,2.82970813490526
363,107.399332072162,104.4706,92.3837,99.7033,90.2867,113.706333333333,110.034,101.135243186336,91.093,10.0422431863359
364,107.511091797703,89.7461,99.7033,109.3477,92.134,103.531833333333,108.04256,105.958485906375,102.6495,3.3089859063751
365,107.622851523245,91.093,109.3477,120.2696,101.878,95.1032333333333,104.39162,109.551377946139,111.6354,2.08402205386079
366,107.734611248787,102.6495,120.2696,116.3788,108.5497,94.4962,100.8676,109.555594315052,110.5925,1.03690568494804
367,107.846370974328,111.6354,116.3788,104.4706,108.194,101.792633333333,99.91892,106.055841642034,101.9204,4.13544164203388
368,107.95813069987,110.5925,104.4706,89.7461,100.4172,108.292466666667,101.1433,90.5267093977628,91.5959,1.06919060223717
369,108.069890425412,101.9204,89.7461,91.093,92.3837,108.049433333333,103.57816,92.4539106158086,93.0628,0.608889384191414
370,108.181650150953,91.5959,91.093,102.6495,99.7033,101.3696,103.67874,106.720970427074,103.2203,3.5006704270735
371,108.293409876495,93.0628,102.6495,111.6354,109.3477,95.5263666666667,101.7614,109.611721102341,117.0837,7.47197889765928
372,108.405169602037,103.2203,111.6354,110.5925,120.2696,95.9596666666667,100.07838,108.906811435768,106.6688,2.23801143576753
373,108.516929327578,117.0837,110.5925,101.9204,116.3788,104.4556,101.37662,105.053990033673,95.3548,9.69919003367274
374,108.62868905312,106.6688,101.9204,91.5959,104.4706,108.990933333333,102.3263,92.6966377626466,89.3254,3.3712377626466
375,108.740448778662,95.3548,91.5959,93.0628,89.7461,106.3691,103.07808,92.8465045689837,90.7369,2.10960456898374
376,108.852208504203,89.3254,93.0628,103.2203,91.093,97.1163333333333,102.3306,104.462246110583,104.0375,0.424746110583243
377,108.963968229745,90.7369,103.2203,117.0837,102.6495,91.8057,99.83392,109.986591941175,114.5397,4.55310805882475
378,109.075727955287,104.0375,117.0837,106.6688,111.6354,94.6999333333333,97.22468,108.106544686108,115.5159,7.40935531389223
379,109.187487680828,114.5397,106.6688,95.3548,110.5925,103.1047,98.79886,98.8169511539814,102.7637,3.94674884601861
380,109.29924740637,115.5159,95.3548,89.3254,101.9204,111.364366666667,102.83108,90.1973488079887,91.4867,1.28935119201134
381,109.411007131912,102.7637,89.3254,90.7369,91.5959,110.939766666667,105.51874,90.552752837667,92.89,2.33724716233303
382,109.522766857454,91.4867,90.7369,104.0375,93.0628,103.255433333333,105.6687,107.018000073755,112.7694,5.75139992624521
383,109.634526582995,92.89,104.0375,114.5397,103.2203,95.7134666666667,103.4392,109.5236529744,114.8505,5.32684702560046
384,109.746286308537,112.7694,114.5397,115.5159,117.0837,99.0487,103.08514,107.290407043383,99.4901,7.80030704338259
385,109.858046034079,114.8505,115.5159,102.7637,106.6688,106.836633333333,102.95206,105.27297844852,101.0396,4.2333784485197
386,109.96980575962,99.4901,102.7637,91.4867,95.3548,109.036666666667,102.29734,92.6966377626466,88.353,4.34363776264661
387,110.081565485162,101.0396,91.4867,92.89,89.3254,105.126733333333,104.20792,92.4540988279951,92.0805,0.373598827995082
388,110.193325210704,88.353,92.89,112.7694,90.7369,96.2942333333333,103.30052,104.403048886205,102.1532,2.24984888620499
389,110.305084936245,92.0805,112.7694,114.8505,104.0375,93.8243666666667,99.16274,109.963071407521,112.1538,2.19072859247862
390,110.416844661787,102.1532,114.8505,99.4901,114.5397,94.1955666666667,96.62328,102.438020168895,108.9312,6.4931798311049
391,110.528604387329,112.1538,99.4901,101.0396,115.5159,102.129166666667,99.15602,104.832052215178,98.6154,6.21665221517775
392,110.64036411287,108.9312,101.0396,88.353,102.7637,107.746066666667,100.73434,90.4933313209654,93.6137,3.12036867903457
393,110.752123838412,98.6154,88.353,92.0805,91.4867,106.5668,102.78682,92.4006552496698,97.3359,4.93524475033018
394,110.863883563954,93.6137,92.0805,102.1532,92.89,100.386766666667,103.09346,105.814602876937,114.7212,8.90659712306314
395,110.975643289495,97.3359,102.1532,112.1538,112.7694,96.5216666666667,102.13,108.955300776442,129.4048,20.4494992235584
