,CLIENTNUM,Churn,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total_Trans_Amt_STANDARDIZED
CLIENTNUM,1.0,-0.04643040876603711,0.0076126511950083435,0.006771737176982855,0.1345878308875737,0.006906905114897448,0.005728527607459212,0.005694427757508111,0.005707622660504688,0.0008245040980306253,0.005632506829154338,0.01736933987586586,-0.019691708792350385,-0.002961013052160335,0.007695575497010233,0.0002659599938483599,-0.019691708792351548
Churn,-0.04643040876603711,1.0,0.018203138532550317,0.01899059631119329,0.013686851177909687,-0.15000522801913782,0.15244880632692528,0.20449050998160412,-0.023872994836161513,-0.2630528831292031,-0.0002850774939378593,-0.13106284781447142,-0.16859838141007935,-0.37140270118892604,-0.29005400688089067,-0.17841033156174754,-0.168598381410079
Customer_Age,0.0076126511950083435,0.018203138532550317,1.0,-0.12225375200525224,0.7889123589930495,-0.010931068804261531,0.054360998760121265,-0.018451854758797494,0.0024762273596651827,0.014779894579644489,0.0011506778791904552,-0.06204209191981909,-0.046446490854687134,-0.06709686360085781,-0.012142548310868884,0.007114222226031671,-0.046446490854687245
Dependent_count,0.006771737176982855,0.01899059631119329,-0.12225375200525224,1.0,-0.10306228148765005,-0.039076388979666685,-0.010767918480952939,-0.04050495976228962,0.06806460020347,-0.0026881458588576693,0.06829130387444278,-0.03543942896257452,0.02504623758738095,0.04991247663849459,0.011087180902770938,-0.03713515854004708,0.02504623758738084
Months_on_book,0.1345878308875737,0.013686851177909687,0.7889123589930495,-0.10306228148765005,1.0,-0.009203080231275066,0.0741635143295101,-0.01077447850672808,0.007507009229698684,0.008622804474098033,0.006732391627270527,-0.048959320126718685,-0.03859062947522452,-0.049819083539623304,-0.014071670900047108,-0.007540836976325785,-0.03859062947522463
Total_Relationship_Count,0.006906905114897448,-0.15000522801913782,-0.010931068804261531,-0.039076388979666685,-0.009203080231275066,1.0,-0.003675376932203342,0.0552031633125055,-0.07138581742352951,0.013725848920523743,-0.07260136283372594,0.050118643659717986,-0.3472288796370119,-0.24189084971343125,0.040831148260572596,0.06766287804145626,-0.3472288796370118
Months_Inactive_12_mon,0.005728527607459212,0.15244880632692528,0.054360998760121265,-0.010767918480952939,0.0741635143295101,-0.003675376932203342,1.0,0.029492910128660527,-0.020393791443454424,-0.0422096087798005,-0.01660538381048069,-0.032246712394811465,-0.0369824250847892,-0.04278703930775387,-0.038989337976709657,-0.007502632768839389,-0.036982425084789605
Contacts_Count_12_mon,0.005694427757508111,0.20449050998160412,-0.018451854758797494,-0.04050495976228962,-0.01077447850672808,0.0552031633125055,0.029492910128660527,1.0,0.020817011716267566,-0.05391273122599845,0.02564596120868015,-0.02444511512038527,-0.11277392883883343,-0.1522126051840484,-0.094996915983774,-0.055471284652453295,-0.11277392883883297
Credit_Limit,0.005707622660504688,-0.023872994836161513,0.0024762273596651827,0.06806460020347,0.007507009229698684,-0.07138581742352951,-0.020393791443454424,0.020817011716267566,1.0,0.04249260734895826,0.9959805439319982,0.012812535653393515,0.1717301504679435,0.07592691199469151,-0.0020198499941726906,-0.48296507141744743,0.17173015046794315
Total_Revolving_Bal,0.0008245040980306253,-0.2630528831292031,0.014779894579644489,-0.0026881458588576693,0.008622804474098033,0.013725848920523743,-0.0422096087798005,-0.05391273122599845,0.04249260734895826,1.0,-0.04716712794343045,0.05817366445423316,0.06437047704791037,0.05606049304632294,0.08986100776026729,0.6240219910059106,0.06437047704791037
Avg_Open_To_Buy,0.005632506829154338,-0.0002850774939378593,0.0011506778791904552,0.06829130387444278,0.006732391627270527,-0.07260136283372594,-0.01660538381048069,0.02564596120868015,0.9959805439319982,-0.04716712794343045,1.0,0.00759452919599243,0.16592322849700905,0.07088510162622996,-0.010075538362498315,-0.5388077476174624,0.16592322849700855
Total_Amt_Chng_Q4_Q1,0.01736933987586586,-0.13106284781447142,-0.06204209191981909,-0.03543942896257452,-0.048959320126718685,0.050118643659717986,-0.032246712394811465,-0.02444511512038527,0.012812535653393515,0.05817366445423316,0.00759452919599243,1.0,0.03967759237186421,0.005468567330773338,0.3841892560337164,0.03523483473073383,0.039677592371864315
Total_Trans_Amt,-0.019691708792350385,-0.16859838141007935,-0.046446490854687134,0.02504623758738095,-0.03859062947522452,-0.3472288796370119,-0.0369824250847892,-0.11277392883883343,0.1717301504679435,0.06437047704791037,0.16592322849700905,0.03967759237186421,1.0,0.807192034651434,0.08558097602856299,-0.08303424588645959,1.0000000000000036
Total_Trans_Ct,-0.002961013052160335,-0.37140270118892604,-0.06709686360085781,0.04991247663849459,-0.049819083539623304,-0.24189084971343125,-0.04278703930775387,-0.1522126051840484,0.07592691199469151,0.05606049304632294,0.07088510162622996,0.005468567330773338,0.807192034651434,1.0,0.11232443991563934,0.0028381122342168077,0.8071920346514337
Total_Ct_Chng_Q4_Q1,0.007695575497010233,-0.29005400688089067,-0.012142548310868884,0.011087180902770938,-0.014071670900047108,0.040831148260572596,-0.038989337976709657,-0.094996915983774,-0.0020198499941726906,0.08986100776026729,-0.010075538362498315,0.3841892560337164,0.08558097602856299,0.11232443991563934,1.0,0.07414320991782088,0.08558097602856328
Avg_Utilization_Ratio,0.0002659599938483599,-0.17841033156174754,0.007114222226031671,-0.03713515854004708,-0.007540836976325785,0.06766287804145626,-0.007502632768839389,-0.055471284652453295,-0.48296507141744743,0.6240219910059106,-0.5388077476174624,0.03523483473073383,-0.08303424588645959,0.0028381122342168077,0.07414320991782088,1.0,-0.08303424588645959
Total_Trans_Amt_STANDARDIZED,-0.019691708792351548,-0.168598381410079,-0.046446490854687245,0.02504623758738084,-0.03859062947522463,-0.3472288796370118,-0.036982425084789605,-0.11277392883883297,0.17173015046794315,0.06437047704791037,0.16592322849700855,0.039677592371864315,1.0000000000000036,0.8071920346514337,0.08558097602856328,-0.08303424588645959,1.0
